,жилая площадь,ремонт,этажей в доме,отделка,количество комнат,площадь кухни,мебель,санузел,высота потолков,парковка,тип дома,"корпус, строение",двор,общая площадь,официальный застройщик,запланирован снос,год постройки,тип участия,грузовой лифт,способ продажи,этаж,срок сдачи,тёплый пол,окна,вид сделки,пассажирский лифт,балкон или лоджия,техника,в доме,название новостройки,тип комнат,position,price
0,,, 25, без отделки, 4,,,,,, монолитный, дом 4.3,, 62.6 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 20 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,8171910
1,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 50.9 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 8 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6949215
2, 28.4 м², косметический, 9,, 2, 7.7 м²," кухня, спальные места", раздельный, 2.7 м, открытая во дворе, кирпичный,," детская площадка, спортивная площадка", 50.9 м²,,, 1988,,, альтернативная, 2 из 9,,, на улицу,,, лоджия," стиральная машина, посудомоечная машина", газ,, изолированные,1000000,6490000
3,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 45.2 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 11 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6156245
4, 18 м², дизайнерский, 10,, 1, 10 м²," кухня, хранение одежды", совмещенный, 2.8 м, подземная, монолитно-кирпичный,," закрытая территория, детская площадка, спортивная площадка", 40 м²,,, 2019,, нет, свободная, 3 из 10,,," на улицу, на солнечную сторону", возможна ипотека, 1, лоджия, кондиционер,,,,31,9999999
5, 16 м², евро, 10,, 1, 10 м²,, совмещенный, 2.8 м, наземная многоуровневая, кирпичный,," закрытая территория, детская площадка, спортивная площадка", 34 м²,,, 2021,, 1, свободная, 5 из 10,,, во двор,, 1, лоджия,,,,,6,6660000
6, 11.5 м², косметический, 9,, 1, 4 м²,, совмещенный,,, кирпичный,,, 18 м²,,,,,, свободная, 4 из 9,,, на улицу, возможна ипотека,,,,,,,21,2290000
7, 27 м²,, 7, без отделки, 2, 12.5 м²,,,,, кирпичный, дом 2.1,, 53 м², ооо специализированный застройщик «ск «унистройдом-1»,,, дду по фз 214,,, 2 из 7, 2 кв. 2024 года,,,,, лоджия,,, жк «атмосфера», изолированные,1000000,5300000
8, 22 м²,, 9, предчистовая, студия,,, совмещенный, 2.7 м, за шлагбаумом во дворе, монолитно-кирпичный,," закрытая территория, детская площадка, спортивная площадка", 28 м², фонд рt по защите прав участников долевого строительства,,, другое, 1,, 2 из 9, сдан,, во двор, возможна ипотека,,,,, жк «золотая середина»,,31,3800000
9, 28.4 м²,, 12, чистовая, 2, 9.4 м²,,,,, панельный," пк-17, корпус 3"," детская площадка, спортивная площадка", 54 м², ооо «специализированный застройщик «светлая долина»,,, дду по фз 214, 1, переуступка, 6 из 12, 4 кв. 2023 года,,, возможна ипотека, 1, балкон,,, жк «светлая долина», изолированные,1000000,6800000
10,,, 17, без отделки, 2, 13.1 м²,,, 2.7 м, подземная, монолитно-кирпичный, позиция 5, детская площадка, 64.6 м², фонд рt по защите прав участников долевого строительства,,, другое,,, 4 из 17, сдан,,, возможна ипотека, 2,,,, жк «молодежный», изолированные,31,7179739
11, 13 м², евро, 5,, 1, 2 м², кухня, совмещенный, 2.5 м, открытая во дворе, кирпичный,, детская площадка, 17.5 м²,,, 1976,, нет, свободная, 2 из 5,,, во двор,, нет,,,,,,31,2200000
12, 17 м², косметический, 9,, 1, 8.2 м²," кухня, хранение одежды, спальные места", совмещенный, 25.7 м," наземная многоуровневая, открытая во дворе", панельный,," детская площадка, спортивная площадка", 35 м²,,, 1989,, 1, свободная, 1 из 9,,," во двор, на солнечную сторону", возможна ипотека, 1, балкон," кондиционер, холодильник, стиральная машина", газ,,,6,4400000
13,,, 19, предчистовая, 2, 13 м²,,,,, монолитный, дом 2,, 57.6 м², ооо спецзастройщик «тси»,,, дду по фз 214,,, 12 из 19, 1 кв. 2023 года,,,,, лоджия,,, жк «мечта», изолированные,31,9920000
14,, косметический, 10,, 4, 10 м², кухня, раздельный,, за шлагбаумом во дворе, панельный,, детская площадка, 82.8 м²,,, 1995,,, свободная, 3 из 10,,," во двор, на улицу", возможна ипотека, 1," балкон, лоджия",,,, изолированные,31,7700000
15,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 50.9 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 20 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6949215
16, 54.4 м²,, 21, предчистовая, 3,,,,,, монолитный,," закрытая территория, детская площадка, спортивная площадка", 99.3 м², ооо сз «ай-кью девелопмент»,,, дду по фз 214,,, 15 из 21, 4 кв. 2023 года,,,,, лоджия,,, жк «свобода», изолированные,31,21517502
17, 46 м², косметический, 5,, 3, 5.6 м²," кухня, хранение одежды, спальные места", совмещенный,, открытая во дворе, панельный,, детская площадка, 60 м²,,, 1966,, нет, свободная, 3 из 5,,," во двор, на улицу, на солнечную сторону", возможна ипотека, нет, балкон," кондиционер, холодильник, стиральная машина, водонагреватель", газ,, изолированные,21,6490000
18, 21 м², косметический, 5,, 1, 5 м²,, раздельный,,, кирпичный,,, 30.4 м²,,, 1960,,, свободная, 5 из 5,,, на улицу, возможна ипотека,, балкон,,,,,16,3990000
19, 15.2 м²,, 21, без отделки, 1, 13.6 м²,,,,, кирпичный, корпус 1,, 41.7 м², ооо сз бизнес парк,,, дду по фз 214,,, 5 из 21, 4 кв. 2024 года,,,,, лоджия,,, жк «uno»,,31,11470000
20, 17.2 м², евро, 20,, 1, 11.1 м²,, совмещенный,,, панельный,,, 38.8 м²,,,,,, свободная, 6 из 20,,,, возможна ипотека, 1, балкон,, мусоропровод,,,1000000,3700000
21,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 45.5 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 11 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6190288
22, 11 м², евро, 5,, 1, 4 м²," кухня, хранение одежды, спальные места", совмещенный,, за шлагбаумом во дворе, кирпичный,," закрытая территория, детская площадка", 15 м²,,,,,, свободная, 5 из 5,,, на улицу,, нет,," холодильник, стиральная машина",,,,11,2350000
23,,, 25, без отделки, 3,,,,,, монолитный, дом 4.3,, 45.5 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 14 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,6190288
24, 25.7 м²,, 9, без отделки, 2, 13.7 м²,,,,, кирпичный, дом 1,, 52.7 м², ооо специализированный застройщик «ск «унистройдом-4»,,, дду по фз 214,,, 3 из 9, 2 кв. 2023 года,,,,, лоджия,,, жк «аквамарин», изолированные,31,9440000
25,, требует ремонта, 20,, студия,,,,,, монолитный,,, 24.7 м²,,,,,, свободная, 13 из 20,,,, возможна ипотека,, балкон,,,,,1000000,2950000
26,,, 24, без отделки, 1, 6.7 м²,,,,, монолитный,,, 37.9 м², ооо сз «ск казань»,,, дду по фз 214,,, 16 из 24, 4 кв. 2024 года,,,,,,,, жк «savin family»,,31,9275991
27, 28 м², требует ремонта, 6,, студия,,, совмещенный,," подземная, за шлагбаумом во дворе", кирпичный,, закрытая территория, 33 м²,,, 2000,, нет, свободная, 1 из 6,,," во двор, на солнечную сторону",, нет,,,,,,6,4850000
28,,, 25, без отделки, 4,,,,,, монолитный, дом 4.3,, 62.6 м², ооо «сз «южный парк-4»,,, дду по фз 214,,, 11 из 25, 2 кв. 2025 года,,,,,,,, жк «южный парк», изолированные,1000000,8170605
29,, евро, 9,, студия,,,,,, кирпичный,,, 28.4 м²,,,,,, свободная, 4 из 9,,,, возможна ипотека,,,,,,,31,2400000
30, 18 м², требует ремонта, 10,, студия,,, совмещенный, 2.9 м," открытая во дворе, за шлагбаумом во дворе", кирпичный,," закрытая территория, детская площадка, спортивная площадка", 22 м²,,,,,, свободная, 1 из 10,,," во двор, на улицу", возможна ипотека,," балкон, лоджия",,,,,1000000,3150000
31, 20 м², евро, 19,, студия,,, совмещенный,,, монолитный,,, 30 м²,,,,,, свободная, 2 из 19,,, во двор,,, лоджия,,,,,31,4500000
32, 19 м², косметический, 5,, 1, 6 м²," кухня, хранение одежды, спальные места", совмещенный,, открытая во дворе, панельный,, детская площадка, 31 м²,,, 1965,, нет, свободная, 1 из 5,,," во двор, на солнечную сторону", возможна ипотека, нет,," холодильник, стиральная машина, водонагреватель", газ,,,21,3800000
33, 18.6 м², евро, 10,, 1, 7 м²,, совмещенный,,, кирпичный,,, 38.4 м²,,,,,, свободная, 9 из 10,,, во двор, возможна ипотека, 1, лоджия,,,,,11,4890000
